Angle,Sensor1_SNR,Sensor1_SPL,Sensor1_THD,Sensor1_SpectralFlatness,Sensor2_SNR,Sensor2_SPL,Sensor2_THD,Sensor2_SpectralFlatness,Sensor3_SNR,Sensor3_SPL,Sensor3_THD,Sensor3_SpectralFlatness,Sensor4_SNR,Sensor4_SPL,Sensor4_THD,Sensor4_SpectralFlatness
-90,124.89242178868855,118.87182187540893,6.68095242511541,0.2126764061324984,140.75789178585754,134.7372918725779,5.587514333624797,0.4970116699117395,140.76342481377915,134.7428249004995,5.589050227126996,0.49709661989238985,124.98816485294506,118.96756493966545,6.669312358792007,0.21196602023764588
-85,128.1427192948161,122.12211938153645,6.499633516754199,0.2600974504601841,140.8307308885843,134.81013097530467,5.58755776349719,0.4970494904516525,140.20418882559315,134.18358891231352,5.5894073365982,0.49708326111495404,128.22322363305867,122.20262371977904,6.488901185051668,0.2594830916511582
-80,131.39301680094363,125.37241688766399,6.318314608392988,0.30751849478786975,140.90356999131103,134.8829700780314,5.587601193369584,0.4970873109915654,139.64495283740717,133.62435292412755,5.589764446069406,0.49706990233751824,131.45828241317227,125.43768249989265,6.308490011311327,0.30700016306467054
-75,134.64331430707114,128.6227143937915,6.136995700031778,0.3549395391155554,140.97640909403776,134.95580918075817,5.587644623241978,0.4971251315314784,139.08571684922117,133.06511693594155,5.590121555540611,0.49705654356008244,134.6933411932859,128.67274128000625,6.128078837570988,0.35451723447818284
-70,137.89361181319867,131.87301189991908,5.955676791670568,0.4023605834432411,141.04924819676452,135.0286482834849,5.5876880531143716,0.4971629520713914,138.5264808610352,132.50588094775557,5.590478665011815,0.49704318478264664,137.9283999733995,131.90780006011985,5.947667663830648,0.4020343058916952
-65,141.1439093193262,135.1233094060466,5.7743578833093565,0.44978162777092684,141.12208729949126,135.10148738621163,5.587731482986766,0.4972007726113044,137.96724487284922,131.94664495956957,5.590835774483019,0.49702982600521084,141.16345875351308,135.1428588402335,5.7672564900903085,0.4495513773052075
-60,144.39420682545375,138.37360691217413,5.593038974948146,0.4972026720986125,141.19492640221802,135.17432648893836,5.587774912859159,0.49723859315121743,137.40800888466322,131.38740897138362,5.591192883954225,0.49701646722777515,144.3985175336267,138.3779176203471,5.586845316349969,0.4970684487187198
-55,145.18521040197555,139.16461048869593,5.592135037120295,0.4972446500967693,140.84662108392385,134.8260211706442,5.5879040868028405,0.4971607725329434,135.80716726900255,129.78656735572292,5.592611236185327,0.4889856536683337,145.19022663800635,139.16962672472673,5.587926136856299,0.49711913729833207
-50,145.97621397849733,139.9556140652177,5.591231099292445,0.4972866280949263,140.49831576562968,134.47771585235006,5.588033260746522,0.49708295191466945,134.20632565334188,128.18572574006222,5.59402958841643,0.4809548401088923,145.981935742386,139.9613358291064,5.5890069573626295,0.4971698258779443
-45,146.76721755501913,140.7466176417395,5.590327161464594,0.49732860609308316,140.15001044733552,134.1294105340559,5.5881624346902035,0.4970051312963954,132.60548403768118,126.58488412440154,5.595447940647532,0.4729240265494509,146.77364484676568,140.75304493348605,5.590087777868959,0.4972205144575566
-40,147.55822113154093,141.5376212182613,5.589423223636743,0.4973705840912401,139.80170512904135,133.78110521576173,5.588291608633885,0.49692731067812146,131.00464242202048,124.98404250874086,5.5968662928786355,0.46489321299000946,147.56535395114534,141.5447540378657,5.5911685983752895,0.4972712030371689
-35,148.3492247080627,142.32862479478308,5.588519285808892,0.49741256208939694,139.4533998107472,133.43279989746756,5.5884207825775665,0.4968494900598474,129.4038008063598,123.3832008930802,5.5982846451097386,0.45686239943056806,148.357063055525,142.33646314224538,5.592249418881619,0.4973218916167811
-30,149.1402282845845,143.11962837130488,5.587615347981041,0.49745454008755385,139.10509449245302,133.0844945791734,5.5885499565212475,0.49677166944157347,127.80295919069911,121.7823592774195,5.599702997340841,0.4488315858711267,149.14877215990464,143.128172246625,5.593330239387949,0.49737258019639335
-25,149.35059427189987,143.32999435862024,5.588792056494441,0.49741399646749695,137.99050042696862,131.969900513689,5.590163269723577,0.496125100003037,128.5742409987802,122.55364108550056,5.597774802281776,0.4560838725648771,149.35699625450275,143.33639634122312,5.593327383006548,0.49734591681402746
-20,149.56096025921522,143.5403603459356,5.589968765007843,0.49737345284744006,136.87590636148423,130.8553064482046,5.591776582925906,0.4954785305645006,129.34552280686123,123.32492289358163,5.595846607222712,0.46333615925862753,149.56522034910085,143.54462043582123,5.593324526625146,0.4973192534316616
